id,name,core_id,tree,type,game
100000,Warrior Class,,Class Talent Codes,Class,da2
101000,Weapon and Shield,,Weapon and Shield,Talent,da2
101001,Weapon and Shield (Base Talent),101000,Weapon and Shield,Talent,da2
101010,Shield Bash,101001,Weapon and Shield,Talent,da2
101011,Pummel,101010,Weapon and Shield,Talent,da2
101020,Assault,101001,Weapon and Shield,Talent,da2
101021,Battery,101020,Weapon and Shield,Talent,da2
101030,Scatter,101001,Weapon and Shield,Talent,da2
101031,Disperse,101030,Weapon and Shield,Talent,da2
101040,Shield Defense,101001,Weapon and Shield,Talent,da2
101041,Shield Wall,101040,Weapon and Shield,Talent,da2
101050,Perception,101001,Weapon and Shield,Talent,da2
101060,Safeguard,101001,Weapon and Shield,Talent,da2
102000,Two-Handed,,Two-Handed,Talent,da2
102001,Two-Handed (Base Talent),102000,Two-Handed,Talent,da2
102010,Mighty Blow,102001,Two-Handed,Talent,da2
102011,Shattering Blow,102010,Two-Handed,Talent,da2
102012,Killer Blow,102011,Two-Handed,Talent,da2
102020,Scythe,102001,Two-Handed,Talent,da2
102021,Reaper,102020,Two-Handed,Talent,da2
102030,Whirlwind,102001,Two-Handed,Talent,da2
102031,Tornado,102030,Two-Handed,Talent,da2
102032,Cyclone,102031,Two-Handed,Talent,da2
102040,Giant's Reach,102001,Two-Handed,Talent,da2
102050,Sunder,102001,Two-Handed,Talent,da2
103000,Vanguard,,Vanguard,Talent,da2
103001,Vanguard (Base Talent),103000,Vanguard,Talent,da2
103010,Cleave,103001,Vanguard,Talent,da2
103011,Claymore,103010,Vanguard,Talent,da2
103020,Assail,103001,Vanguard,Talent,da2
103021,Besiege,103020,Vanguard,Talent,da2
103030,Control,103001,Vanguard,Talent,da2
103031,Command,103030,Vanguard,Talent,da2
103040,Might,103001,Vanguard,Talent,da2
103041,Muscle,103040,Vanguard,Talent,da2
103050,Destroyer,103001,Vanguard,Talent,da2
103060,Massacre,103001,Vanguard,Talent,da2
104000,Defender,,Defender,Talent,da2
104001,Defender (Base Talent),104000,Defender,Talent,da2
104010,Stonewall,104001,Defender,Talent,da2
104011,Bulwark,104010,Defender,Talent,da2
104020,Turn the Blade,104001,Defender,Talent,da2
