id,name,core_id,tree,type,game
1,Shield Pummel,4022,Weapon and Shield,Talent,dao
2,Shield Mastery,4022,Weapon and Shield,Talent,dao
3,Critical Strike,4022,Two-Handed,Talent,dao
4,Sunder Armor,4022,Two-Handed,Talent,dao
5,Dual-Weapon Expert,"4020, 4022",Dual Weapon,Talent,dao
6,Dual-Weapon Training,"4020, 4022",Dual Weapon,Talent,dao
7,Punisher,"4020, 4022",Dual Weapon,Talent,dao
8,Dual-Weapon Finesse,"4020, 4022",Dual Weapon,Talent,dao
9,Riposte,"4020, 4022",Dual Weapon,Talent,dao
10,Cripple,"4020, 4022",Dual Weapon,Talent,dao
11,Dual Striking,"4020, 4022",Dual Weapon,Talent,dao
12,Shield Wall,4022,Weapon and Shield,Talent,dao
13,Shield Cover,4022,Weapon and Shield,Talent,dao
14,Powerful,4022,Warrior,Talent,dao
17,Bravery,4022,Warrior,Talent,dao
19,Precise Striking,4022,Warrior,Talent,dao
20,Perfect Striking,4022,Warrior,Talent,dao
21,Combat Movement,4020,Rogue,Talent,dao
23,Righteous Strike,4021,Templar,Talent,dao
25,Holy Smite,4021,Templar,Talent,dao
27,Two-Handed Strength,4022,Two-Handed,Talent,dao
28,Indomitable,4022,Two-Handed,Talent,dao
33,Defensive Fire,"4020, 4022",Archery,Talent,dao
34,Melee Archer,"4020, 4022",Archery,Talent,dao
35,Master Archer,"4020, 4022",Archery,Talent,dao
36,Shield Expertise,4022,Weapon and Shield,Talent,dao
37,Shield Balance,4022,Weapon and Shield,Talent,dao
38,Assault,4022,Weapon and Shield,Talent,dao
42,Motivate,4013,Champion,Talent,dao
48,Resilience,4016,Berserker,Talent,dao
52,Mental Fortress,4021,Templar,Talent,dao
56,Exploit Weakness,4014,Assassin,Talent,dao
91,Summon Bear,4029,Ranger,Talent,dao
92,Master Ranger,4029,Ranger,Talent,dao
93,Summon Spider,4029,Ranger,Talent,dao
500,Aim,"4020, 4022",Archery,Talent,dao
603,Dirty Fighting,4020,Rogue,Talent,dao
617,Shield Bash,4022,Weapon and Shield,Talent,dao
700,Berserk,4016,Berserker,Talent,dao
701,Distraction,4015,Bard,Talent,dao
704,Shield Defense,4022,Weapon and Shield,Talent,dao
705,Song of Courage,4015,Bard,Talent,dao
708,Deadly Strike,4020,Rogue,Talent,dao
709,Dueling,4030,Duelist,Talent,dao
713,Blood Frenzy,4019,Reaver,Talent,dao
717,Momentum,"4020, 4022",Dual Weapon,Talent,dao
718,Powerful Swings,4022,Two-Handed,Talent,dao
777,Lethality,4020,Rogue,Talent,dao
800,Scattershot,"4020, 4022",Archery,Talent,dao
801,Suppressing Fire,"4020, 4022",Archery,Talent,dao
802,Arrow of Slaying,"4020, 4022",Archery,Talent,dao
803,Pinning Shot,"4020, 4022",Archery,Talent,dao
804,Critical Shot,"4020, 4022",Archery,Talent,dao
805,Crippling Shot,"4020, 4022",Archery,Talent,dao
808,Threaten,4022,Warrior,Talent,dao
1000,Captivating Song,4015,Bard,Talent,dao
1004,Summon Wolf,4029,Ranger,Talent,dao
3000,Stunning Blows,4022,Two-Handed,Talent,dao
3001,Shattering Blows,4022,Two-Handed,Talent,dao
3002,Coup De Grace,4020,Rogue,Talent,dao
3006,Constraint,4016,Berserker,Talent,dao
3009,Final Blow,4016,Berserker,Talent,dao
3016,Disengage,4022,Warrior,Talent,dao
3017,Cleanse Area,4021,Templar,Talent,dao
3021,Death Blow,4022,Warrior,Talent,dao
3023,Feign Death,4020,Rogue,Talent,dao
3024,Pommel Strike,4022,Two-Handed,Talent,dao
3025,Sunder Arms,4022,Two-Handed,Talent,dao
3026,Below the Belt,4020,Rogue,Talent,dao
3028,Mighty Blow,4022,Two-Handed,Talent,dao
3030,Shield Tactics,4022,Weapon and Shield,Talent,dao
3031,Two-Handed Sweep,4022,Two-Handed,Talent,dao
3032,Destroyer,4022,Two-Handed,Talent,dao
3035,Flurry,"4020, 4022",Dual Weapon,Talent,dao
3036,Dual-Weapon Mastery,"4020, 4022",Dual Weapon,Talent,dao
3037,War Cry,4013,Champion,Talent,dao
3038,Rally,4013,Champion,Talent,dao
3039,Superiority,4013,Champion,Talent,dao
3041,Taunt,4022,Warrior,Talent,dao
3043,Whirlwind,"4020, 4022",Dual Weapon,Talent,dao
3044,Dual-Weapon Sweep,"4020, 4022",Dual Weapon,Talent,dao
3045,Song of Valor,4015,Bard,Talent,dao
3049,Keen Defense,4030,Duelist,Talent,dao
3050,Upset Balance,4030,Duelist,Talent,dao
3051,Pinpoint Strike,4030,Duelist,Talent,dao
3058,Feast of the Fallen,4014,Assassin,Talent,dao
3059,Lacerate,4014,Assassin,Talent,dao
3060,Mark of Death,4014,Assassin,Talent,dao
3065,Devour,4019,Reaver,Talent,dao
3066,Frightening Appearance,4019,Reaver,Talent,dao
3067,Aura of Pain,4019,Reaver,Talent,dao
3069,Evasion,4020,Rogue,Talent,dao
3071,Rapid Shot,"4020, 4022",Archery,Talent,dao
3072,Shattering Shot,"4020, 4022",Archery,Talent,dao
3073,Overpower,4022,Weapon and Shield,Talent,dao
3074,Shield Block,4022,Weapon and Shield,Talent,dao
3080,Dwarven Resistance,,Racial Ability,Talent,dao
4001,Player Skill Unlock,,Core Skill,Skill,dao
4002,Humanoid Skill Unlock,,Core Skill,Skill,dao
4012,Arcane Warrior,,Mage Specialization,Spell,dao
4013,Champion,,Warrior Specialization,Talent,dao
4014,Assassin,,Rogue Specialization,Talent,dao
4015,Bard,,Rogue Specialization,Talent,dao
4016,Berserker,,Warrior Specialization,Talent,dao
4017,Blood Mage,,Mage Specialization,Spell,dao
4018,Shapeshifter,,Mage Specialization,Spell,dao
4019,Reaver,,Warrior Specialization,Talent,dao
4020,Core Rogue Unlocked,,Core Class,Class,dao
4021,Templar,,Warrior Specialization,Talent,dao
4022,Core Warrior Unlocked,,Core Class,Class,dao
4023,Core Mage Unlocked,,Core Class,Class,dao
4025,Spirit Healer,,Mage Specialization,Spell,dao
4029,Ranger,,Rogue Specialization,Talent,dao
4030,Duelist,,Rogue Specialization,Talent,dao
4033,Core Shale,,Core Talent Shale,Talent,dao
4034,Core Dog,,Core Talent Dog,Talent,dao
10001,Flame Blast,4023,Primal,Spell,dao
10002,Inferno,4023,Primal,Spell,dao
10003,Fireball,4023,Primal,Spell,dao
10104,Heal,4023,Creation,Spell,dao
10200,Rejuvenate,4023,Creation,Spell,dao
10202,Heroic Aura,4023,Creation,Spell,dao
10203,Heroic Defense,4023,Creation,Spell,dao
10204,Flaming Weapons,4023,Primal,Spell,dao
10206,Heroic Offense,4023,Creation,Spell,dao
10207,Mass Rejuvenation,4023,Creation,Spell,dao
10208,Haste,4023,Creation,Spell,dao
10209,Telekinetic Weapons,4023,Spirit,Spell,dao
10210,Regeneration,4023,Creation,Spell,dao
10211,Chain Lightning,4023,Primal,Spell,dao
10400,Spell Shield,4023,Spirit,Spell,dao
10401,Dispel Magic,4023,Spirit,Spell,dao
10500,Death Syphon,4023,Spirit,Spell,dao
10504,Revival,4025,Spirit Healer,Spell,dao
10506,Lifeward,4025,Spirit Healer,Spell,dao
10507,Cleansing Aura,4025,Spirit Healer,Spell,dao
10508,Animate Dead,4023,Spirit,Spell,dao
10509,Group Heal,4025,Spirit Healer,Spell,dao
10510,Vessel of the Spirit,,Plot (Wynne),Spell,dao
10601,Glyph of Warding,4023,Creation,Spell,dao
10700,Blood Magic,4017,Blood Mage,Spell,dao
10701,Blood Sacrifice,4017,Blood Mage,Spell,dao
10702,Blood Wound,4017,Blood Mage,Spell,dao
10703,Blood Control,4017,Blood Mage,Spell,dao
10704,Mana Drain,4023,Spirit,Spell,dao
10900,Anti-Magic Ward,4023,Spirit,Spell,dao
11000,Mana Clash,4023,Spirit,Spell,dao
11001,Glyph of Paralysis,4023,Creation,Spell,dao
11002,Rock Armor,4023,Primal,Spell,dao
11003,Anti-Magic Burst,4023,Spirit,Spell,dao
11004,Mana Cleanse,4023,Spirit,Spell,dao
11005,Spellbloom,4023,Creation,Spell,dao
11006,Spell Wisp,4023,Creation,Spell,dao
11007,Frost Weapons,4023,Primal,Spell,dao
11100,Death Hex,4023,Entropy,Spell,dao
11101,Curse of Mortality,4023,Entropy,Spell,dao
11106,Weakness,4023,Entropy,Spell,dao
11107,Paralyze,4023,Entropy,Spell,dao
11108,Horror,4023,Entropy,Spell,dao
11109,Waking Nightmare,4023,Entropy,Spell,dao
11110,Mass Paralysis,4023,Entropy,Spell,dao
11111,Affliction Hex,4023,Entropy,Spell,dao
11112,Vulnerability Hex,4023,Entropy,Spell,dao
11113,Grease,4023,Creation,Spell,dao
11114,Misdirection Hex,4023,Entropy,Spell,dao
11115,Disorient,4023,Entropy,Spell,dao
11116,Earthquake,4023,Primal,Spell,dao
11121,Sleep,4023,Entropy,Spell,dao
11122,Miasma,4023,Entropy,Spell,dao
11123,Crushing Prison,4023,Spirit,Spell,dao
11124,Petrify,4023,Primal,Spell,dao
12004,Stonefist,4023,Primal,Spell,dao
12005,Walking Bomb,4023,Spirit,Spell,dao
12006,Mind Blast,4023,Spirit,Spell,dao
12008,Stinging Swarm,4023,Creation,Spell,dao
12011,Virulent Walking Bomb,4023,Spirit,Spell,dao
13000,Blizzard,4023,Primal,Spell,dao
13001,Winter's Grasp,4023,Primal,Spell,dao
13002,Cone of Cold,4023,Primal,Spell,dao
14000,Shock,4023,Primal,Spell,dao
14001,Lightning,4023,Primal,Spell,dao
14002,Tempest,4023,Primal,Spell,dao
15002,Drain Life,4023,Entropy,Spell,dao
15003,Death Cloud,4023,Entropy,Spell,dao
17000,Glyph of Repulsion,4023,Creation,Spell,dao
17001,Spell Might,4023,Spirit,Spell,dao
17002,Death Magic,4023,Entropy,Spell,dao
17007,Flying Swarm,4018,Shapeshifter,Spell,dao
17008,Spider Shape,4018,Shapeshifter,Spell,dao
17009,Master Shapeshifter,4018,Shapeshifter,Spell,dao
17010,Bear Shape,4018,Shapeshifter,Spell,dao
17019,Force Field,4023,Spirit,Spell,dao
17020,Aura of Might,4012,Arcane Warrior,Spell,dao
17021,Fade Shroud,4012,Arcane Warrior,Spell,dao
17022,Shimmering Shield,4012,Arcane Warrior,Spell,dao
17023,Combat Magic,4012,Arcane Warrior,Spell,dao
17028,Glyph of Neutralization,4023,Creation,Spell,dao
90015,Overwhelm,4034,War Dog,Talent,dao
90016,Charge,4034,War Dog,Talent,dao
90017,Growl,4034,War Dog,Talent,dao
90047,Shred,4034,War Dog,Talent,dao
90048,Dread Howl,4034,War Dog,Talent,dao
90049,Combat Training,4034,War Dog,Talent,dao
90050,Fortitude,4034,War Dog,Talent,dao
90051,Nemesis,4034,War Dog,Talent,dao
90200,Minor Strength,90224,Plot Skill (Strength),Skill,dao
90201,Moderate Strength,90224,Plot Skill (Strength),Skill,dao
90202,Major Strength,90224,Plot Skill (Strength),Skill,dao
90203,Minor Dexterity,90225,Plot Skill (Dexterity),Skill,dao
90204,Moderate Dexterity,90225,Plot Skill (Dexterity),Skill,dao
90205,Major Dexterity,90225,Plot Skill (Dexterity),Skill,dao
90206,Minor Constitution,90226,Plot Skill (Constitution),Skill,dao
90207,Moderate Constitution,90226,Plot Skill (Constitution),Skill,dao
90208,Major Constitution,90226,Plot Skill (Constitution),Skill,dao
90209,Minor Cunning,90227,Plot Skill (Cunning),Skill,dao
90210,Moderate Cunning,90227,Plot Skill (Cunning),Skill,dao
90211,Major Cunning,90227,Plot Skill (Cunning),Skill,dao
90212,Minor Willpower,90228,Plot Skill (Willpower),Skill,dao
90213,Moderate Willpower,90228,Plot Skill (Willpower),Skill,dao
90214,Major Willpower,90228,Plot Skill (Willpower),Skill,dao
90215,Minor Magic,90229,Plot Skill (Magic),Skill,dao
90216,Moderate Magic,90229,Plot Skill (Magic),Skill,dao
90217,Major Magic,90229,Plot Skill (Magic),Skill,dao
90218,Massive Strength,90224,Plot Skill (Strength),Skill,dao
90219,Massive Dexterity,90225,Plot Skill (Dexterity),Skill,dao
