resref,name,game,material_family,material_target,wiki_url,stackable,category
den100ar_brothel,The Pearl,dao,,,,0,accessories.amulets
drk_im_acc_amu_war,Warden's Oath,dao,,,https://dragonage.fandom.com/wiki/Warden%27s_Oath,0,accessories.amulets
gen_im_acc_amu_am10,Shaper's Amulet,dao,,,https://dragonage.fandom.com/wiki/Shaper%27s_Amulet,0,accessories.amulets
gen_im_acc_amu_am11,Aneirin's Token,dao,,,https://dragonage.fandom.com/wiki/Aneirin%27s_Token,0,accessories.amulets
gen_im_acc_amu_am12,Spirit Charm,dao,,,https://dragonage.fandom.com/wiki/Spirit_Charm,0,accessories.amulets
gen_im_acc_amu_am13,Sailor's Charm,dao,,,https://dragonage.fandom.com/wiki/Sailor%27s_Charm,0,accessories.amulets
gen_im_acc_amu_am14,Spirit Ward,dao,,,https://dragonage.fandom.com/wiki/Spirit_Ward,0,accessories.amulets
gen_im_acc_amu_am15,Mud Idol,dao,,,https://dragonage.fandom.com/wiki/Mud_Idol,0,accessories.amulets
gen_im_acc_amu_am16,Magister's Shield,dao,,,https://dragonage.fandom.com/wiki/Magister%27s_Shield,0,accessories.amulets
gen_im_acc_amu_am17,Apprentice's Amulet,dao,,,https://dragonage.fandom.com/wiki/Apprentice%27s_Amulet,0,accessories.amulets
gen_im_acc_amu_am18,Amulet of Accord,dao,,,https://dragonage.fandom.com/wiki/Amulet_of_Accord,0,accessories.amulets
gen_im_acc_amu_am19,Silver Cord,dao,,,https://dragonage.fandom.com/wiki/Silver_Cord,0,accessories.amulets
gen_im_acc_amu_am6,Lifedrinker,dao,,,https://dragonage.fandom.com/wiki/Lifedrinker,0,accessories.amulets
gen_im_acc_amu_am7,Faulty Amulet,dao,,,https://dragonage.fandom.com/wiki/Faulty_Amulet,0,accessories.amulets
gen_im_acc_amu_am8,Gateway Amulet,dao,,,https://dragonage.fandom.com/wiki/Gateway_Amulet,0,accessories.amulets
gen_im_acc_amu_am9,Smith's Heart,dao,,,https://dragonage.fandom.com/wiki/Smith%27s_Heart,0,accessories.amulets
gen_im_acc_amu_ath,Athras's Pendant,dao,,,https://dragonage.fandom.com/wiki/Athras%27s_Pendant,0,accessories.amulets
gen_im_acc_amu_cir1,Charm of Flame,dao,,,https://dragonage.fandom.com/wiki/Charm_of_Flame,0,accessories.amulets
gen_im_acc_amu_cir2,Charm of Still Waters,dao,,,https://dragonage.fandom.com/wiki/Charm_of_Still_Waters,0,accessories.amulets
gen_im_acc_amu_cld10,Hearthstone Pendant,dao,,,https://dragonage.fandom.com/wiki/Hearthstone_Pendant,0,accessories.amulets
gen_im_acc_amu_cld20,Shiver,dao,,,https://dragonage.fandom.com/wiki/Shiver,0,accessories.amulets
gen_im_acc_amu_dal,Dalish Pendant,dao,,,https://dragonage.fandom.com/wiki/Dalish_Pendant,0,accessories.amulets
gen_im_acc_amu_ele10,Caridin's Cage,dao,,,https://dragonage.fandom.com/wiki/Caridin%27s_Cage,0,accessories.amulets
gen_im_acc_amu_hal,Halla Horn,dao,,,https://dragonage.fandom.com/wiki/Halla_Horn,0,accessories.amulets
gen_im_acc_amu_lel,Seeker's Circle,dao,,,https://dragonage.fandom.com/wiki/Seeker%27s_Circle,0,accessories.amulets
gen_im_acc_amu_men10,Temperament,dao,,,https://dragonage.fandom.com/wiki/Temperament,0,accessories.amulets
gen_im_acc_amu_men20,North Ward,dao,,,https://dragonage.fandom.com/wiki/North_Ward,0,accessories.amulets
gen_im_acc_amu_mor,Wildstone Clasp,dao,,,https://dragonage.fandom.com/wiki/Wildstone_Clasp,0,accessories.amulets
gen_im_acc_amu_nck,Heirloom Necklace,dao,,,https://dragonage.fandom.com/wiki/Heirloom_Necklace,0,accessories.amulets
gen_im_acc_amu_phs20,Deadhead Charge,dao,,,https://dragonage.fandom.com/wiki/Deadhead_Charge,0,accessories.amulets
gen_im_acc_amu_spl,The Spellward,dao,,,https://dragonage.fandom.com/wiki/The_Spellward,0,accessories.amulets
gen_im_acc_amu_urn,Reflection,dao,,,https://dragonage.fandom.com/wiki/Reflection,0,accessories.amulets
gen_im_acc_amu_var,Varathorn's Amulet,dao,,,https://dragonage.fandom.com/wiki/Varathorn%27s_Amulet,0,accessories.amulets
gen_im_acc_amu_war,Warden's Oath,dao,,,https://dragonage.fandom.com/wiki/Warden%27s_Oath,0,accessories.amulets
gen_im_acc_amu_wil,Par Vollen Willstone,dao,,,https://dragonage.fandom.com/wiki/Par_Vollen_Willstone,0,accessories.amulets
gen_im_acc_amu_wit,Heart of Witherfang,dao,,,https://dragonage.fandom.com/wiki/Heart_of_Witherfang,0,accessories.amulets
gib_im_acc_amu,The High Regard of House Dace,dao,,,https://dragonage.fandom.com/wiki/The_High_Regard_of_House_Dace_(Golems_of_Amgarrak),0,accessories.amulets
halla,Halla,dao,,,,0,accessories.amulets
lel_im_acc_amu_am01,Rivaini Grace,dao,,,https://dragonage.fandom.com/wiki/Rivaini_Grace,0,accessories.amulets
lel_im_acc_amu_am02,Lightning Chain,dao,,,https://dragonage.fandom.com/wiki/Lightning_Chain,0,accessories.amulets
lel_im_acc_amu_am03,Deep Sawtooth,dao,,,https://dragonage.fandom.com/wiki/Deep_Sawtooth,0,accessories.amulets
prc_im_gib_acc_amu_dao,The High Regard of House Dace,dao,,,https://dragonage.fandom.com/wiki/The_High_Regard_of_House_Dace,0,accessories.amulets
prc_im_gib_acc_amu_ep1,The High Regard of House Dace,dao,,,https://dragonage.fandom.com/wiki/The_High_Regard_of_House_Dace,0,accessories.amulets
prm000im_pearlan,Pearl of the Anointed (Origins),dao,,,https://dragonage.fandom.com/wiki/Pearl_of_the_Anointed_(Origins),0,accessories.amulets
prm000im_warmage,Amulet of the War Mage,dao,,,https://dragonage.fandom.com/wiki/Amulet_of_the_War_Mage,0,accessories.amulets
shl300im_cadash_amulet,Blood-Gorged Amulet,dao,,,https://dragonage.fandom.com/wiki/Blood-Gorged_Amulet,0,accessories.amulets
str_im_ariane_necklace,Amulet of Protection,dao,,,https://dragonage.fandom.com/wiki/Amulet_of_Protection,0,accessories.amulets
val_im_qck_amulet,Amulet of Memories,dao,,,https://dragonage.fandom.com/wiki/Amulet_of_Memories,0,accessories.amulets
witherfang,Witherfang,dao,,,,0,accessories.amulets
gen_im_acc_blt_and,Andruil's Blessing,dao,,,https://dragonage.fandom.com/wiki/Andruil%27s_Blessing,0,accessories.belts
gen_im_acc_blt_c1a,Ephemeralist's Belt,dao,,,https://dragonage.fandom.com/wiki/Ephemeralist%27s_Belt,0,accessories.belts
gen_im_acc_blt_c1b,Destructionist's Belt,dao,,,https://dragonage.fandom.com/wiki/Destructionist%27s_Belt,0,accessories.belts
gen_im_acc_blt_c1c,Creationist's Cord,dao,,,https://dragonage.fandom.com/wiki/Creationist%27s_Cord,0,accessories.belts
gen_im_acc_blt_cir1,Earthen Cinch,dao,,,https://dragonage.fandom.com/wiki/Earthen_Cinch,0,accessories.belts
gen_im_acc_blt_cir2,Buckle of the Winds,dao,,,https://dragonage.fandom.com/wiki/Buckle_of_the_Winds,0,accessories.belts
gen_im_acc_blt_d1a,Dwarven Merchant's Belt,dao,,,https://dragonage.fandom.com/wiki/Dwarven_Merchant%27s_Belt,0,accessories.belts
gen_im_acc_blt_d1b,Dwarven Smith's Belt,dao,,,https://dragonage.fandom.com/wiki/Dwarven_Smith%27s_Belt,0,accessories.belts
gen_im_acc_blt_d1c,Dwarven Warrior's Belt,dao,,,https://dragonage.fandom.com/wiki/Dwarven_Warrior%27s_Belt,0,accessories.belts
gen_im_acc_blt_e1a,Elfrope,dao,,,https://dragonage.fandom.com/wiki/Elfrope,0,accessories.belts
gen_im_acc_blt_e1b,Dalish Leather Belt,dao,,,https://dragonage.fandom.com/wiki/Dalish_Leather_Belt,0,accessories.belts
gen_im_acc_blt_e1c,Dalish Hunter's Belt,dao,,,https://dragonage.fandom.com/wiki/Dalish_Hunter%27s_Belt,0,accessories.belts
gen_im_acc_blt_f1a,Hardy's Belt,dao,,,https://dragonage.fandom.com/wiki/Hardy%27s_Belt,0,accessories.belts
gen_im_acc_blt_f1b,Fencer's Cinch,dao,,,https://dragonage.fandom.com/wiki/Fencer%27s_Cinch,0,accessories.belts
gen_im_acc_blt_f1c,Longbowman's Belt,dao,,,https://dragonage.fandom.com/wiki/Longbowman%27s_Belt,0,accessories.belts
gen_im_acc_blt_f2a,Sword Belt,dao,,,https://dragonage.fandom.com/wiki/Sword_Belt,0,accessories.belts
gen_im_acc_blt_f2b,Swordsman's Girdle,dao,,,https://dragonage.fandom.com/wiki/Swordsman%27s_Girdle,0,accessories.belts
