resref,name,game,material_family,material_target,wiki_url,stackable,category
gxa_im_acc_amu_001,Nature's Blessing,daoa,,,https://dragonage.fandom.com/wiki/Nature%27s_Blessing,0,accessories.amulets
gxa_im_acc_amu_002,Illumination,daoa,,,https://dragonage.fandom.com/wiki/Illumination,0,accessories.amulets
gxa_im_acc_amu_and,Fox's Pendant,daoa,,,https://dragonage.fandom.com/wiki/Fox%27s_Pendant,0,accessories.amulets
gxa_im_acc_amu_g01,Seeker's Chain,daoa,,,https://dragonage.fandom.com/wiki/Seeker%27s_Chain,0,accessories.amulets
gxa_im_acc_amu_g02,Scout's Medal,daoa,,,https://dragonage.fandom.com/wiki/Scout%27s_Medal,0,accessories.amulets
gxa_im_acc_amu_jus,Kristoff's Locket,daoa,,,https://dragonage.fandom.com/wiki/Kristoff%27s_Locket,0,accessories.amulets
gxa_im_acc_amu_m01,Magus Ward,daoa,,,https://dragonage.fandom.com/wiki/Magus_Ward,0,accessories.amulets
gxa_im_acc_amu_m02,Will of the Unyielding,daoa,,,https://dragonage.fandom.com/wiki/Will_of_the_Unyielding,0,accessories.amulets
gxa_im_acc_amu_m03,Talisman of Restoration,daoa,,,https://dragonage.fandom.com/wiki/Talisman_of_Restoration,0,accessories.amulets
gxa_im_acc_amu_r02,Spirit Cord,daoa,,,https://dragonage.fandom.com/wiki/Spirit_Cord,0,accessories.amulets
gxa_im_acc_amu_w01,Blood of the Warrior,daoa,,,https://dragonage.fandom.com/wiki/Blood_of_the_Warrior,0,accessories.amulets
gxa_im_acc_amu_w02,Rough-Hewn Pendant,daoa,,,https://dragonage.fandom.com/wiki/Rough-Hewn_Pendant,0,accessories.amulets
prm000im_ep1_pearlan,Pearl of the Anointed (Awakening),daoa,,,https://dragonage.fandom.com/wiki/Pearl_of_the_Anointed_(Awakening),0,accessories.amulets
gxa_im_acc_blt_001,Girdle of Kal'Hirol,daoa,,,https://dragonage.fandom.com/wiki/Girdle_of_Kal%27Hirol,0,accessories.belts
gxa_im_acc_blt_002,Gladiator's Belt,daoa,,,https://dragonage.fandom.com/wiki/Gladiator%27s_Belt,0,accessories.belts
gxa_im_acc_blt_g01,Sash of Power,daoa,,,https://dragonage.fandom.com/wiki/Sash_of_Power,0,accessories.belts
gxa_im_acc_blt_g02,Panacea,daoa,,,https://dragonage.fandom.com/wiki/Panacea,0,accessories.belts
gxa_im_acc_blt_m01,Lucrosian's Silken Cord,daoa,,,https://dragonage.fandom.com/wiki/Lucrosian%27s_Silken_Cord,0,accessories.belts
gxa_im_acc_blt_m03,Battlemage's Cinch,daoa,,,https://dragonage.fandom.com/wiki/Battlemage%27s_Cinch,0,accessories.belts
gxa_im_acc_blt_m04,Belt of the Architect,daoa,,,https://dragonage.fandom.com/wiki/Belt_of_the_Architect,0,accessories.belts
gxa_im_acc_blt_ogh,One for the Ditch,daoa,,,https://dragonage.fandom.com/wiki/One_for_the_Ditch_(Awakening),0,accessories.belts
gxa_im_acc_blt_r01,Doge's Dodger,daoa,,,https://dragonage.fandom.com/wiki/Doge%27s_Dodger,0,accessories.belts
gxa_im_acc_blt_sig,Deep Roads Girdle,daoa,,,https://dragonage.fandom.com/wiki/Deep_Roads_Girdle,0,accessories.belts
gxa_im_acc_blt_w01,Enduring Faith,daoa,,,https://dragonage.fandom.com/wiki/Enduring_Faith,0,accessories.belts
gxa_im_acc_blt_w02,Wasp's Sting,daoa,,,https://dragonage.fandom.com/wiki/Wasp%27s_Sting,0,accessories.belts
prc_im_ep1_reward4,Cinch of Skillful Maneuvering,daoa,,,https://dragonage.fandom.com/wiki/Cinch_of_Skillful_Maneuvering_(Awakening),0,accessories.belts
str_im_belt,Cinch of Skillful Maneuvering,daoa,,,https://dragonage.fandom.com/wiki/Cinch_of_Skillful_Maneuvering_(Awakening),0,accessories.belts
coa100cr_apostate_3,Muttering Elf,daoa,,,,0,accessories.rings
gxa_im_acc_rng_001,Sleeper,daoa,,,https://dragonage.fandom.com/wiki/Sleeper,0,accessories.rings
gxa_im_acc_rng_002,Tingler,daoa,,,https://dragonage.fandom.com/wiki/Tingler,0,accessories.rings
gxa_im_acc_rng_003,Corin's Proposal,daoa,,,https://dragonage.fandom.com/wiki/Corin%27s_Proposal,0,accessories.rings
gxa_im_acc_rng_m01,Golden Cog,daoa,,,https://dragonage.fandom.com/wiki/Golden_Cog,0,accessories.rings
gxa_im_acc_rng_m02,Silver Cog,daoa,,,https://dragonage.fandom.com/wiki/Silver_Cog,0,accessories.rings
gxa_im_acc_rng_m03,Ring of Mastery,daoa,,,https://dragonage.fandom.com/wiki/Ring_of_Mastery,0,accessories.rings
gxa_im_acc_rng_m04,Ring of Discipline,daoa,,,https://dragonage.fandom.com/wiki/Ring_of_Discipline,0,accessories.rings
gxa_im_acc_rng_m05,Soulbound,daoa,,,https://dragonage.fandom.com/wiki/Soulbound,0,accessories.rings
gxa_im_acc_rng_m06,Earthbound,daoa,,,https://dragonage.fandom.com/wiki/Earthbound,0,accessories.rings
gxa_im_acc_rng_m07,Icicle,daoa,,,https://dragonage.fandom.com/wiki/Icicle,0,accessories.rings
gxa_im_acc_rng_m08,Ash,daoa,,,https://dragonage.fandom.com/wiki/Ash_(ring),0,accessories.rings
gxa_im_acc_rng_nat,Worn Golden Ring,daoa,,,https://dragonage.fandom.com/wiki/Worn_Golden_Ring,0,accessories.rings
gxa_im_acc_rng_r01,Ring of Subtlety,daoa,,,https://dragonage.fandom.com/wiki/Ring_of_Subtlety,0,accessories.rings
gxa_im_acc_rng_r02,Ring of Severity,daoa,,,https://dragonage.fandom.com/wiki/Ring_of_Severity,0,accessories.rings
gxa_im_acc_rng_vel,Keeper's Charm,daoa,,,https://dragonage.fandom.com/wiki/Keeper%27s_Charm,0,accessories.rings
gxa_im_acc_rng_w01,Blessing of the Divine,daoa,,,https://dragonage.fandom.com/wiki/Blessing_of_the_Divine,0,accessories.rings
gxa_im_acc_rng_w02,Mark of the Divine,daoa,,,https://dragonage.fandom.com/wiki/Mark_of_the_Divine,0,accessories.rings
gxa_im_justice_lyrium_ring,Lyrium Ring,daoa,,,https://dragonage.fandom.com/wiki/Lyrium_Ring,0,accessories.rings
gxa_im_arm_bot_hvy_001,Stormchaser Boots,daoa,metal,armor,https://dragonage.fandom.com/wiki/Stormchaser_Boots,0,armor.boots
gxa_im_arm_bot_hvy_002,Fleet Feet,daoa,metal,armor,https://dragonage.fandom.com/wiki/Fleet_Feet,0,armor.boots
gxa_im_arm_bot_lgt_001,Trickster's Boots,daoa,leather,armor,https://dragonage.fandom.com/wiki/Trickster%27s_Boots,0,armor.boots
gxa_im_arm_bot_lgt_002,Feet of the Nimble,daoa,leather,armor,https://dragonage.fandom.com/wiki/Feet_of_the_Nimble,0,armor.boots
gxa_im_arm_bot_lgt_003,Blackblade Boots,daoa,leather,armor,https://dragonage.fandom.com/wiki/Blackblade_Boots,0,armor.boots
gxa_im_arm_bot_lgt_004,Wolf Treads,daoa,leather,armor,https://dragonage.fandom.com/wiki/Wolf_Treads,0,armor.boots
gxa_im_arm_bot_lgt_m01,Lorekeeper's Boots,daoa,leather,armor,https://dragonage.fandom.com/wiki/Lorekeeper%27s_Boots,0,armor.boots
gxa_im_arm_bot_lgt_m02,Mage's Running Boots,daoa,leather,armor,https://dragonage.fandom.com/wiki/Mage%27s_Running_Boots,0,armor.boots
gxa_im_arm_bot_lgt_m03,Firestompers,daoa,leather,armor,https://dragonage.fandom.com/wiki/Firestompers,0,armor.boots
gxa_im_arm_bot_lgt_m04,Winter Boots,daoa,leather,armor,https://dragonage.fandom.com/wiki/Winter_Boots,0,armor.boots
