property,type,game
AI_Behaviour,SMPL,da2
Animation_Speed_Modifier,ATTR,da2
Armor_Absolute,ATTR,da2
Armor_Scaled,ATTR,da2
Attack_Absolute,ATTR,da2
Attack_Scaled (PC ONLY),ATTR,da2
Attribute_Points,SMPL,da2
CUT Armor_Penetration,ATTR,da2
Cold_Resistance_Absolute,ATTR,da2
Cold_Resistance_Scaled,ATTR,da2
Constitution,ATTR,da2
Critical_Hit_Chance_Bonus,ATTR,da2
Cunning,ATTR,da2
Damage_Ability_Bonus_Factor,ATTR,da2
Damage_Cold_Bonus_Factor,ATTR,da2
Damage_Critical_Bonus_Factor,ATTR,da2
Damage_Electricity_Bonus_Factor,ATTR,da2
Damage_Fire_Bonus_Factor,ATTR,da2
Damage_Nature_Bonus_Factor,ATTR,da2
Damage_Physical_Bonus_Factor,ATTR,da2
Damage_Resistance,ATTR,da2
Damage_Spirit_Bonus_Factor,ATTR,da2
Defense_Absolute,ATTR,da2
Defense_Scaled (PC ONLY),ATTR,da2
Dexterity,ATTR,da2
Displacement,ATTR,da2
Electricity_Resistance_Absolute,ATTR,da2
Electricity_Resistance_Scaled,ATTR,da2
Experience,ATTR,da2
Fire_Resistance_Absolute,ATTR,da2
Fire_Resistance_Scaled,ATTR,da2
Force_Resistance,ATTR,da2
Hate_Modifier,ATTR,da2
Health,DPLT,da2
Health_Regeneration_Combat,ATTR,da2
Health_Reserve_Percentage,ATTR,da2
Inventory_Size,SMPL,da2
Level,SMPL,da2
Magic,ATTR,da2
Magic_Resistance,ATTR,da2
Mana,DPLT,da2
Mana_Regeneration_Combat,ATTR,da2
Mana_Reserve_Percentage,ATTR,da2
Nature_Resistance_Absolute,ATTR,da2
Nature_Resistance_Scaled,ATTR,da2
Primary_Attribute,SMPL,da2
Specialization_Points,SMPL,da2
Spirit_Resistance_Absolute,ATTR,da2
Spirit_Resistance_Scaled,ATTR,da2
Strength,ATTR,da2
Talent_Points,SMPL,da2
Threat_Decay_Rate,ATTR,da2
Threat_Modifier,ATTR,da2
Willpower,ATTR,da2
AI_BEHAVIOR,SMPL,dao
AP_BONUS,ATTR,dao
Armor,ATTR,dao
Attack,ATTR,dao
AttackSpeedModifier,ATTR,dao
Attribute_points,SMPL,dao
Background,SMPL,dao
BaseAttackRating,SMPL,dao
BaseDefenseRating,SMPL,dao
Cold_Damage_Bonus,ATTR,dao
Constitution,ATTR,dao
CriticalRange,ATTR,dao
Cunning,ATTR,dao
CurrentClass,SMPL,dao
DamageBonus,ATTR,dao
DamageScale,ATTR,dao
Damage_MainHand,ATTR,dao
Damage_OffHand,ATTR,dao
Damage_Resistance_Cold,ATTR,dao
Damage_Resistance_Electricity,ATTR,dao
Damage_Resistance_Fire,ATTR,dao
Damage_Resistance_Nature,ATTR,dao
Damage_Resistance_Spirit,ATTR,dao
Damage_Shield_points,ATTR,dao
Damage_Shield_strength,ATTR,dao
Defense,ATTR,dao
Dexterity,ATTR,dao
Displacement,ATTR,dao
Electricity_Damage_Bonus,ATTR,dao
Experience,SMPL,dao
Fatique,ATTR,dao
Fire_Damage_Bonus,ATTR,dao
Flanking_Angle,ATTR,dao
Healing_Effect_Factor,ATTR,dao
Health,DPLT,dao
Inventory_Size,SMPL,dao
Level,SMPL,dao
Magic,ATTR,dao
Mana_Stamina,DPLT,dao
Melee_Crit_Modifier,ATTR,dao
Missile_Shield,ATTR,dao
Nature_Damage_Bonus,ATTR,dao
Ranged_Aim_Speed,ATTR,dao
Ranged_Crit_Modifier,ATTR,dao
Regeneration_Health,ATTR,dao
Regeneration_Health_Combat,ATTR,dao
Regeneration_Stamina,ATTR,dao
Regeneration_Stamina_Combat,ATTR,dao
Resistance_Mind,ATTR,dao
Resistance_Physical,ATTR,dao
Skill_points,SMPL,dao
SpellPower,ATTR,dao
Spell_resistance,ATTR,dao
Spirit_Damage_Bonus,ATTR,dao
Strength,ATTR,dao
Threat_Decrease_Rate,SMPL,dao
Willpower,ATTR,dao
specialization_points,SMPL,dao
talent_spell_points,SMPL,dao
