id,name,core_id,tree,type
4023,Core Mage Unlocked,,Core Class,Specialization
4020,Core Rogue Unlocked,,Core Class,Specialization
4022,Core Warrior Unlocked,,Core Class,Specialization
4012,Arcane Warrior,,General,Specialization
4015,Bard,,General,Specialization
4018,Shapeshifter,,General,Specialization
4025,Spirit Healer,,General,Specialization
4013,Champion,,General,Specialization
4016,Berserker,,General,Specialization
4019,Reaver,,General,Specialization
4029,Ranger,,General,Specialization
4014,Assassin,,General,Specialization
4017,Blood Mage,,General,Specialization
4021,Templar,,General,Specialization
4030,Duelist,,General,Specialization
401000,Spirit Warrior,,General,Specialization
401001,Guardian,,General,Specialization
401002,Keeper,,General,Specialization
401003,Battlemage,,General,Specialization
401004,Legionnaire Scout,,General,Specialization
401005,Shadow,,General,Specialization
100011,Coercion,"4001, 4002",Skill Tree,Skill
100012,Improved Coercion,"4001, 4002",Skill Tree,Skill
100013,Expert Coercion,"4001, 4002",Skill Tree,Skill
100014,Master Coercion,"4001, 4002",Skill Tree,Skill
100021,Stealing,"4001, 4002",Skill Tree,Skill
100022,Improved Stealing,"4001, 4002",Skill Tree,Skill
100023,Expert Stealing,"4001, 4002",Skill Tree,Skill
100024,Master Stealing,"4001, 4002",Skill Tree,Skill
100041,Trap-Making,"4001, 4002",Skill Tree,Skill
100042,Improved Trap-Making,"4001, 4002",Skill Tree,Skill
100043,Expert Trap-Making,"4001, 4002",Skill Tree,Skill
100044,Master Trap-Making,"4001, 4002",Skill Tree,Skill
100051,Survival,"4001, 4002",Skill Tree,Skill
100052,Improved Survival,"4001, 4002",Skill Tree,Skill
100053,Expert Survival,"4001, 4002",Skill Tree,Skill
100054,Master Survival,"4001, 4002",Skill Tree,Skill
100061,Herbalism,"4001, 4002",Skill Tree,Skill
100062,Improved Herbalism,"4001, 4002",Skill Tree,Skill
100063,Expert Herbalism,"4001, 4002",Skill Tree,Skill
100064,Master Herbalism,"4001, 4002",Skill Tree,Skill
100071,Poison-Making,"4001, 4002",Skill Tree,Skill
100072,Improved Poison-Making,"4001, 4002",Skill Tree,Skill
100073,Expert Poison-Making,"4001, 4002",Skill Tree,Skill
100074,Master Poison-Making,"4001, 4002",Skill Tree,Skill
100100,Combat Training,"4001, 4002",Skill Tree,Skill
100101,Improved Combat Training,"4001, 4002",Skill Tree,Skill
100102,Expert Combat Training,"4001, 4002",Skill Tree,Skill
100103,Master Combat Training,"4001, 4002",Skill Tree,Skill
100110,Combat Tactics,"4001, 4002",Skill Tree,Skill
100111,Improved Combat Tactics,"4001, 4002",Skill Tree,Skill
100112,Expert Combat Tactics,"4001, 4002",Skill Tree,Skill
100113,Master Combat Tactics,"4001, 4002",Skill Tree,Skill
410000,Runecrafting,"4001, 4002",Skill Tree,Skill
410001,Improved Runecrafting,"4001, 4002",Skill Tree,Skill
410002,Expert Runecrafting,"4001, 4002",Skill Tree,Skill
410003,Master Runecrafting,"4001, 4002",Skill Tree,Skill
410100,Vitality,"4001, 4002",Skill Tree,Skill
410101,Improved Vitality,"4001, 4002",Skill Tree,Skill
410102,Expert Vitality,"4001, 4002",Skill Tree,Skill
410103,Master Vitality,"4001, 4002",Skill Tree,Skill
410200,Clarity,"4001, 4002",Skill Tree,Skill
410201,Improved Clarity,"4001, 4002",Skill Tree,Skill
410202,Expert Clarity,"4001, 4002",Skill Tree,Skill
410203,Master Clarity,"4001, 4002",Skill Tree,Skill
90200,Minor Strength,"90224",Plot Skill (Strength),Skill
90201,Moderate Strength,"90224",Plot Skill (Strength),Skill
90202,Major Strength,"90224",Plot Skill (Strength),Skill
90218,Massive Strength,"90224",Plot Skill (Strength),Skill
90203,Minor Dexterity,"90225",Plot Skill (Dexterity),Skill
90204,Moderate Dexterity,"90225",Plot Skill (Dexterity),Skill
90205,Major Dexterity,"90225",Plot Skill (Dexterity),Skill
90219,Massive Dexterity,"90225",Plot Skill (Dexterity),Skill
90206,Minor Constitution,"90226",Plot Skill (Constitution),Skill
90207,Moderate Constitution,"90226",Plot Skill (Constitution),Skill
90208,Major Constitution,"90226",Plot Skill (Constitution),Skill
90220,Massive Constitution,"90226",Plot Skill (Constitution),Skill
90209,Minor Cunning,"90227",Plot Skill (Cunning),Skill
90210,Moderate Cunning,"90227",Plot Skill (Cunning),Skill
90211,Major Cunning,"90227",Plot Skill (Cunning),Skill
90221,Massive Cunning,"90227",Plot Skill (Cunning),Skill
90212,Minor Willpower,"90228",Plot Skill (Willpower),Skill
90213,Moderate Willpower,"90228",Plot Skill (Willpower),Skill
90214,Major Willpower,"90228",Plot Skill (Willpower),Skill
90222,Massive Willpower,"90228",Plot Skill (Willpower),Skill
90215,Minor Magic,"90229",Plot Skill (Magic),Skill
90216,Moderate Magic,"90229",Plot Skill (Magic),Skill
90217,Major Magic,"90229",Plot Skill (Magic),Skill
90223,Massive Magic,"90229",Plot Skill (Magic),Skill
100080,Golem Form,,Shapeshifting Forms,Talent
100081,Mouse Form,,Shapeshifting Forms,Talent
100083,Burning Man Form,,Shapeshifting Forms,Talent
100084,Spirit Form,,Shapeshifting Forms,Talent
3080,Dwarven Resistance,,Racial Ability,Talent
603,Dirty Fighting,"4020",Rogue,Talent
21,Combat Movement,"4020",Rogue,Talent
3002,Coup De Grace,"4020",Rogue,Talent
3023,Feign Death,"4020",Rogue,Talent
3026,Below the Belt,"4020",Rogue,Talent
708,Deadly Strike,"4020",Rogue,Talent
777,Lethality,"4020",Rogue,Talent
3069,Evasion,"4020",Rogue,Talent
100001,Deft Hands,"4020",Rogue,Talent
100002,Improved Tools,"4020",Rogue,Talent
100003,Mechanical Expertise,"4020",Rogue,Talent
100004,Device Mastery,"4020",Rogue,Talent
100075,Stealth,"4020",Rogue,Talent
100076,Stealthy Item Use,"4020",Rogue,Talent
100077,Combat Stealth,"4020",Rogue,Talent
100078,Master Stealth,"4020",Rogue,Talent
400200,Heartseeker,"4020",Rogue,Talent
400201,Ghost,"4020",Rogue,Talent
400202,Weak Points,"4020",Rogue,Talent
400203,Flicker,"4020",Rogue,Talent
6,Dual-Weapon Training,"4020, 4022",Dual Weapon,Talent
8,Dual-Weapon Finesse,"4020, 4022",Dual Weapon,Talent
5,Dual-Weapon Expert,"4020, 4022",Dual Weapon,Talent
3036,Dual-Weapon Mastery,"4020, 4022",Dual Weapon,Talent
11,Dual Striking,"4020, 4022",Dual Weapon,Talent
9,Riposte,"4020, 4022",Dual Weapon,Talent
10,Cripple,"4020, 4022",Dual Weapon,Talent
7,Punisher,"4020, 4022",Dual Weapon,Talent
3044,Dual-Weapon Sweep,"4020, 4022",Dual Weapon,Talent
3035,Flurry,"4020, 4022",Dual Weapon,Talent
717,Momentum,"4020, 4022",Dual Weapon,Talent
3043,Whirlwind,"4020, 4022",Dual Weapon,Talent
402100,Twin Strikes,"4020, 4022",Dual Weapon,Talent
402101,Find Vitals,"4020, 4022",Dual Weapon,Talent
402102,Low Blow,"4020, 4022",Dual Weapon,Talent
402103,Unending Flurry,"4020, 4022",Dual Weapon,Talent
34,Melee Archer,"4020, 4022",Archery,Talent
500,Aim,"4020, 4022",Archery,Talent
33,Defensive Fire,"4020, 4022",Archery,Talent
35,Master Archer,"4020, 4022",Archery,Talent
803,Pinning Shot,"4020, 4022",Archery,Talent
