id,name,core_id,tree,type
4001,Skill Tree Unlocked 1,,Core Skill,"Skill "
4002,Skill Tree Unlocked 2,,Core Skill,Skill
4023,Core Mage Unlocked,,Core Class,Class
4020,Core Rogue Unlocked,,Core Class,Class
4022,Core Warrior Unlocked,,Core Class,Class
4012,Arcane Warrior,,Mage Specialization,Specialization
4015,Bard,,Rogue Specialization,Specialization
4018,Shapeshifter,,Mage Specialization,Specialization
4025,Spirit Healer,,Mage Specialization,Specialization
4013,Champion,,Warrior Specialization,Specialization
4016,Berserker,,Warrior Specialization,Specialization
4019,Reaver,,Warrior Specialization,Specialization
4029,Ranger,,Rogue Specialization,Specialization
4014,Assassin,,Rogue Specialization,Specialization
4017,Blood Mage,,Mage Specialization,Specialization
4021,Templar,,Warrior Specialization,Specialization
4030,Duelist,,Rogue Specialization,Specialization
401000,Spirit Warrior,,Warrior Specialization,Specialization
401001,Guardian,,Warrior Specialization,Specialization
401002,Keeper,,Mage Specialization,Specialization
401003,Battlemage,,Mage Specialization,Specialization
401004,Legionnaire Scout,,Rogue Specialization,Specialization
401005,Shadow,,Rogue Specialization,Specialization
100011,Coercion,"4001, 4002",Skill Tree,Skill
100012,Improved Coercion,"4001, 4002",Skill Tree,Skill
100013,Expert Coercion,"4001, 4002",Skill Tree,Skill
100014,Master Coercion,"4001, 4002",Skill Tree,Skill
100021,Stealing,"4001, 4002",Skill Tree,Skill
100022,Improved Stealing,"4001, 4002",Skill Tree,Skill
100023,Expert Stealing,"4001, 4002",Skill Tree,Skill
100024,Master Stealing,"4001, 4002",Skill Tree,Skill
100041,Trap-Making,"4001, 4002",Skill Tree,Skill
100042,Improved Trap-Making,"4001, 4002",Skill Tree,Skill
100043,Expert Trap-Making,"4001, 4002",Skill Tree,Skill
100044,Master Trap-Making,"4001, 4002",Skill Tree,Skill
100051,Survival,"4001, 4002",Skill Tree,Skill
100052,Improved Survival,"4001, 4002",Skill Tree,Skill
100053,Expert Survival,"4001, 4002",Skill Tree,Skill
100054,Master Survival,"4001, 4002",Skill Tree,Skill
100061,Herbalism,"4001, 4002",Skill Tree,Skill
100062,Improved Herbalism,"4001, 4002",Skill Tree,Skill
100063,Expert Herbalism,"4001, 4002",Skill Tree,Skill
100064,Master Herbalism,"4001, 4002",Skill Tree,Skill
100071,Poison-Making,"4001, 4002",Skill Tree,Skill
100072,Improved Poison-Making,"4001, 4002",Skill Tree,Skill
100073,Expert Poison-Making,"4001, 4002",Skill Tree,Skill
100074,Master Poison-Making,"4001, 4002",Skill Tree,Skill
100100,Combat Training,"4001, 4002",Skill Tree,Skill
100101,Improved Combat Training,"4001, 4002",Skill Tree,Skill
100102,Expert Combat Training,"4001, 4002",Skill Tree,Skill
100103,Master Combat Training,"4001, 4002",Skill Tree,Skill
100110,Combat Tactics,"4001, 4002",Skill Tree,Skill
100111,Improved Combat Tactics,"4001, 4002",Skill Tree,Skill
100112,Expert Combat Tactics,"4001, 4002",Skill Tree,Skill
100113,Master Combat Tactics,"4001, 4002",Skill Tree,Skill
410000,Runecrafting,"4001, 4002",Skill Tree,Skill
410001,Improved Runecrafting,"4001, 4002",Skill Tree,Skill
410002,Expert Runecrafting,"4001, 4002",Skill Tree,Skill
410003,Master Runecrafting,"4001, 4002",Skill Tree,Skill
410100,Vitality,"4001, 4002",Skill Tree,Skill
410101,Improved Vitality,"4001, 4002",Skill Tree,Skill
